subject,image,size,shape,bill length,bill shape,tail shape,wing shape,head pattern,breast pattern,back pattern,tail pattern,belly pattern,wing pattern,primary color,wing color,upperparts color,underparts color,upper tail color,back color,breast color,throat color,eye color,forehead color,under tail color,nape color,belly color,leg color,bill color,crown color
25ztvqnp073z9hr,132.White_crowned_Sparrow/White_Crowned_Sparrow_0044_127386.jpg,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
25ztvqnp073z9hr,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0014_797086.jpg,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
25ztvqnp073z9hr,073.Blue_Jay/Blue_Jay_0079_62626.jpg,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False
25ztvqnp073z9hr,053.Western_Grebe/Western_Grebe_0011_36522.jpg,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
25ztvqnp073z9hr,142.Black_Tern/Black_Tern_0102_144344.jpg,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
25ztvqnp073z9hr,069.Rufous_Hummingbird/Rufous_Hummingbird_0016_59660.jpg,True,True,True,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
25ztvqnp073z9hr,040.Olive_sided_Flycatcher/Olive_Sided_Flycatcher_0057_796898.jpg,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
25ztvqnp073z9hr,027.Shiny_Cowbird/Shiny_Cowbird_0012_24249.jpg,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25ztvqnp073z9hr,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0010_60895.jpg,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
25ztvqnp073z9hr,127.Savannah_Sparrow/Savannah_Sparrow_0028_119982.jpg,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
25ztvqnp073z9hr,039.Least_Flycatcher/Least_Flycatcher_0085_30318.jpg,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
25ztvqnp073z9hr,078.Gray_Kingbird/Gray_Kingbird_0005_70103.jpg,True,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25ztvqnp073z9hr,131.Vesper_Sparrow/Vesper_Sparrow_0032_125564.jpg,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
25ztvqnp073z9hr,177.Prothonotary_Warbler/Prothonotary_Warbler_0127_174149.jpg,True,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False
25ztvqnp073z9hr,165.Chestnut_sided_Warbler/Chestnut_Sided_Warbler_0089_163776.jpg,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
25ztvqnp073z9hr,170.Mourning_Warbler/Mourning_Warbler_0056_166476.jpg,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
25ztvqnp073z9hr,176.Prairie_Warbler/Prairie_Warbler_0027_172465.jpg,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False
25ztvqnp073z9hr,020.Yellow_breasted_Chat/Yellow_Breasted_Chat_0087_21695.jpg,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False
25ztvqnp073z9hr,018.Spotted_Catbird/Spotted_Catbird_0018_796800.jpg,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True
25ztvqnp073z9hr,053.Western_Grebe/Western_Grebe_0038_36363.jpg,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
25ztvqnp073z9hr,081.Pied_Kingfisher/Pied_Kingfisher_0036_72275.jpg,True,True,False,True,True,True,True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False
25ztvqnp073z9hr,065.Slaty_backed_Gull/Slaty_Backed_Gull_0008_53145.jpg,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
25ztvqnp073z9hr,045.Northern_Fulmar/Northern_Fulmar_0078_43985.jpg,True,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
25ztvqnp073z9hr,149.Brown_Thrasher/Brown_Thrasher_0054_155145.jpg,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
25ztvqnp073z9hr,120.Fox_Sparrow/Fox_Sparrow_0022_115248.jpg,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
25ztvqnp073z9hr,179.Tennessee_Warbler/Tennessee_Warbler_0075_174763.jpg,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
25ztvqnp073z9hr,199.Winter_Wren/Winter_Wren_0019_189533.jpg,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
25ztvqnp073z9hr,157.Yellow_throated_Vireo/Yellow_Throated_Vireo_0076_794984.jpg,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
25ztvqnp073z9hr,126.Nelson_Sharp_tailed_Sparrow/Nelson_Sharp_Tailed_Sparrow_0037_117986.jpg,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25ztvqnp073z9hr,037.Acadian_Flycatcher/Acadian_Flycatcher_0038_795616.jpg,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
595nc7j00tfublv,013.Bobolink/Bobolink_0007_9246.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
595nc7j00tfublv,095.Baltimore_Oriole/Baltimore_Oriole_0056_88355.jpg,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
595nc7j00tfublv,182.Yellow_Warbler/Yellow_Warbler_0073_176218.jpg,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
595nc7j00tfublv,156.White_eyed_Vireo/White_Eyed_Vireo_0001_159237.jpg,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
595nc7j00tfublv,144.Common_Tern/Common_Tern_0115_149482.jpg,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
595nc7j00tfublv,182.Yellow_Warbler/Yellow_Warbler_0029_176855.jpg,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
595nc7j00tfublv,113.Baird_Sparrow/Baird_Sparrow_0012_794552.jpg,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
